Payroll type,Check date,Amount,Period Start,Period End,Schedule,Pay run date and time (ET)
Regular,11/10/2024,"$6,238.22",10/16/2024,10/31/2024,Semi-monthly,11/5/2024 16:49
Regular,10/25/2024,"$5,123.23",10/1/2024,10/15/2024,Semi-monthly,10/20/2024 19:13
Regular,10/10/2024,"$7,323.22",9/16/2024,9/30/2024,Semi-monthly,10/5/2024 16:43
Regular,9/25/2024,"$6,123.23",9/1/2024,9/15/2024,Semi-monthly,9/20/2024 19:13
Regular,9/10/2024,"$6,423.23",8/16/2024,8/31/2024,Semi-monthly,9/5/2024 17:53
Regular,8/26/2024,"$5,121.23",8/1/2024,8/15/2024,Semi-monthly,8/21/2024 19:13
Regular,8/10/2024,"$6,233.22",7/16/2024,7/31/2024,Semi-monthly,8/5/2024 16:49
Regular,7/25/2024,"$7,313.23",7/1/2024,7/15/2024,Semi-monthly,7/20/2024 19:13
Regular,7/10/2024,"$6,423.23",6/16/2024,6/30/2024,Semi-monthly,7/5/2024 17:53
Regular,6/25/2024,"$7,313.23",6/1/2024,6/15/2024,Semi-monthly,6/20/2024 19:13
Off-cycle,6/10/2024,"$1,113.23",5/16/2024,5/31/2024,Semi-monthly,6/5/2024 17:53
Regular,6/10/2024,"$6,333.22",5/16/2024,5/31/2024,Semi-monthly,6/5/2024 17:49
Regular,5/25/2024,"$6,113.23",5/1/2024,5/15/2024,Semi-monthly,5/20/2024 19:13
Regular,5/10/2024,"$6,333.22",4/16/2024,4/30/2024,Semi-monthly,5/5/2024 16:49
Regular,4/25/2024,"$6,213.23",4/1/2024,4/15/2024,Semi-monthly,4/20/2024 19:13
Regular,4/10/2024,"$6,133.22",3/16/2024,3/31/2024,Semi-monthly,4/5/2024 16:49
Regular,3/25/2024,"$7,113.23",3/1/2024,3/15/2024,Semi-monthly,3/20/2024 19:13
Regular,3/10/2024,"$7,333.22",2/16/2024,2/29/2024,Semi-monthly,3/5/2024 16:49
Regular,2/25/2024,"$7,113.23",2/1/2024,2/15/2024,Semi-monthly,2/20/2024 19:13
Regular,2/10/2024,"$7,333.22",1/16/2024,1/31/2024,Semi-monthly,2/5/2024 16:49
Regular,1/25/2024,"$8,113.23",1/1/2024,1/15/2024,Semi-monthly,1/20/2024 19:13
Regular,1/10/2024,"$7,333.22",12/16/2023,12/31/2023,Semi-monthly,1/5/2024 16:49
Regular,12/26/2023,"$23,123.32",12/1/2023,12/15/2023,Semi-monthly,12/21/2023 19:13
Regular,12/10/2023,"$11,113.22",11/16/2023,11/30/2023,Semi-monthly,12/5/2023 16:49
Regular,11/25/2023,"$11,113.23",11/1/2023,11/15/2023,Semi-monthly,11/20/2023 19:13
Regular,11/10/2023,"$23,433.22",10/16/2023,10/31/2023,Semi-monthly,11/5/2023 16:49
Regular,10/25/2023,"$11,313.23",10/1/2023,10/15/2023,Semi-monthly,10/20/2023 19:13
Regular,10/10/2023,"$22,433.22",9/16/2023,9/30/2023,Semi-monthly,10/5/2023 16:49
Off-cycle,9/25/2023,"$1,238.22",9/1/2023,9/15/2023,Semi-monthly,9/20/2023 19:13
Regular,9/25/2023,"$11,133.23",9/1/2023,9/15/2023,Semi-monthly,9/20/2023 19:13
Regular,9/10/2023,"$24,433.22",8/16/2023,8/31/2023,Semi-monthly,9/5/2023 16:49
Regular,8/25/2023,"$11,113.23",8/1/2023,8/15/2023,Semi-monthly,8/20/2023 19:13
Regular,8/10/2023,"$24,433.22",7/16/2023,7/31/2023,Semi-monthly,8/5/2023 16:49
Regular,7/25/2023,"$11,313.23",7/1/2023,7/15/2023,Semi-monthly,7/20/2023 19:13
Regular,7/10/2023,"$24,433.22",6/16/2023,6/30/2023,Semi-monthly,7/5/2023 16:49
Regular,6/25/2023,"$11,313.23",6/1/2023,6/15/2023,Semi-monthly,6/20/2023 19:13
Regular,6/10/2023,"$24,433.22",5/16/2023,5/31/2023,Semi-monthly,6/5/2023 16:49
